cart_nome;cart_rodada;cart_pontos;cart_patr
Al Bihlau;0;0;110
Clube Pipocada;0;0;110
Fracus FC;0;0;110
Kika@72fc;0;0;110
Plincesa FC;0;0;110
Tra-Thor;0;0;110
Al Bihlau;1;56,39;112
Clube Pipocada;1;70,05;114,72
Fracus FC;1;53,18;111,74
Kika@72fc;1;57,78;112,88
Plincesa FC;1;72,79;119,58
Tra-Thor;1;57,8;109,7
Al Bihlau;2;45,23;109,53
Clube Pipocada;2;60,89;114,28
Fracus FC;2;86,92;119,4
Kika@72fc;2;87,52;120,51
Plincesa FC;2;78,62;123,22
Tra-Thor;2;58,87;110,92
Al Bihlau;3;46,3;106,96
Clube Pipocada;3;50,62;114
Fracus FC;3;58,82;119,86
Kika@72fc;3;57,52;120,94
Plincesa FC;3;63,32;123,95
Tra-Thor;3;84,4;118,81
Al Bihlau;4;76,57;106,71
Clube Pipocada;4;91,92;120,32
Fracus FC;4;94,31;125,23
Kika@72fc;4;102,93;127,51
Plincesa FC;4;92,98;127,35
Tra-Thor;4;83,71;119,3
Al Bihlau;5;65,83;110
Clube Pipocada;5;86,67;124,51
Fracus FC;5;77,83;127,36
Kika@72fc;5;99,88;131,17
Plincesa FC;5;67,33;125,63
Tra-Thor;5;86,28;123,98
Al Bihlau;6;79,83;114,99
Clube Pipocada;6;70,5;125,56
Fracus FC;6;64,21;127,17
Kika@72fc;6;96,52;135,18
Plincesa FC;6;46,51;118,68
Tra-Thor;6;113,89;140,8
Al Bihlau;7;112,01;123,74
Clube Pipocada;7;89,8;129,59
Fracus FC;7;117,07;138,73
Kika@72fc;7;127,96;146,12
Plincesa FC;7;106,89;128,16
Tra-Thor;7;85,74;144,16
Al Bihlau;8;64,69;126,52
Clube Pipocada;8;72,89;132,89
Fracus FC;8;59,16;133,08
Kika@72fc;8;76,78;145,55
Plincesa FC;8;53,6;123,69
Tra-Thor;8;144,75;154,16
Al Bihlau;9;65,62;131,19
Clube Pipocada;9;62,68;136,67
Fracus FC;9;80,73;139,76
Kika@72fc;9;58,43;148,13
Plincesa FC;9;63,02;129,27
Tra-Thor;9;54,78;149,24
Al Bihlau;10;101,77;137,81
Clube Pipocada;10;48,5;134,11
Fracus FC;10;67,67;141,56
Kika@72fc;10;63,27;150,59
Plincesa FC;10;59,82;129,46
Tra-Thor;10;58,41;150,95
Al Bihlau;11;69;139,78
Clube Pipocada;11;95,46;136,83
Fracus FC;11;105,16;144,95
Kika@72fc;11;85,98;150,53
Plincesa FC;11;127,81;135,98
Tra-Thor;11;89,44;150,77
Al Bihlau;12;80,76;136,75
Clube Pipocada;12;38,26;131,31
Fracus FC;12;37,37;135,27
Kika@72fc;12;56,76;151,58
Plincesa FC;12;48,06;130,81
Tra-Thor;12;59,56;146,13
Al Bihlau;13;125,77;145,29
Clube Pipocada;13;99,67;137,13
Fracus FC;13;102,34;139,22
Kika@72fc;13;81,12;153,24
Plincesa FC;13;99,17;138,59
Tra-Thor;13;64,62;146,77
Al Bihlau;14;65,3;145,85
Clube Pipocada;14;77,1;142,04
Fracus FC;14;75,7;138,45
